input npy dir: truncate_450_5808/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 0.7
start time: 2018-08-17 21:53:13
accuracy is 0.677519, loss is 0.576465, epoch 0 time, consumed 145.63 seconds
accuracy is 0.806202, loss is 0.573308, epoch 1 time, consumed 145.18 seconds
accuracy is 0.804651, loss is 0.472865, epoch 2 time, consumed 143.30 seconds
accuracy is 0.829457, loss is 0.419705, epoch 3 time, consumed 150.93 seconds
accuracy is 0.835659, loss is 0.425869, epoch 4 time, consumed 144.23 seconds
accuracy is 0.843411, loss is 0.391021, epoch 5 time, consumed 142.80 seconds
accuracy is 0.851163, loss is 0.416075, epoch 6 time, consumed 139.13 seconds
accuracy is 0.841860, loss is 0.414523, epoch 7 time, consumed 136.04 seconds
accuracy is 0.862015, loss is 0.394454, epoch 8 time, consumed 147.74 seconds
accuracy is 0.858915, loss is 0.353857, epoch 9 time, consumed 143.92 seconds
accuracy is 0.872868, loss is 0.348150, epoch 10 time, consumed 139.59 seconds
accuracy is 0.868217, loss is 0.350619, epoch 11 time, consumed 140.13 seconds
accuracy is 0.854264, loss is 0.375999, epoch 12 time, consumed 137.17 seconds
accuracy is 0.843411, loss is 0.387148, epoch 13 time, consumed 142.89 seconds
accuracy is 0.863566, loss is 0.353463, epoch 14 time, consumed 136.12 seconds
accuracy is 0.874419, loss is 0.358470, epoch 15 time, consumed 141.04 seconds
accuracy is 0.868217, loss is 0.343759, epoch 16 time, consumed 143.00 seconds
accuracy is 0.866667, loss is 0.359390, epoch 17 time, consumed 142.19 seconds
accuracy is 0.869767, loss is 0.350893, epoch 18 time, consumed 142.57 seconds
accuracy is 0.882171, loss is 0.327845, epoch 19 time, consumed 139.71 seconds
accuracy is 0.869767, loss is 0.377132, epoch 20 time, consumed 141.36 seconds
accuracy is 0.866667, loss is 0.353784, epoch 21 time, consumed 140.22 seconds
accuracy is 0.874419, loss is 0.338430, epoch 22 time, consumed 136.36 seconds
accuracy is 0.883721, loss is 0.337551, epoch 23 time, consumed 138.47 seconds
accuracy is 0.872868, loss is 0.331482, epoch 24 time, consumed 140.95 seconds
accuracy is 0.860465, loss is 0.335979, epoch 25 time, consumed 139.83 seconds
accuracy is 0.869767, loss is 0.347927, epoch 26 time, consumed 143.04 seconds
accuracy is 0.877519, loss is 0.346122, epoch 27 time, consumed 140.30 seconds
accuracy is 0.869767, loss is 0.343233, epoch 28 time, consumed 138.94 seconds
accuracy is 0.869767, loss is 0.335672, epoch 29 time, consumed 143.27 seconds
accuracy is 0.854264, loss is 0.358123, epoch 30 time, consumed 139.45 seconds
accuracy is 0.872868, loss is 0.330704, epoch 31 time, consumed 142.29 seconds
accuracy is 0.871318, loss is 0.343857, epoch 32 time, consumed 147.12 seconds
accuracy is 0.880620, loss is 0.337281, epoch 33 time, consumed 140.67 seconds
accuracy is 0.855814, loss is 0.400543, epoch 34 time, consumed 140.28 seconds
