input npy dir: truncate_500_5808/NPY/
cubic shape: (10, 20, 20)
Training examples: 5803, high 1793, low 1793
Testing examples: 645, high 223, low 223
epoch: 80
batch size: 32
keep prob: 0.500000
start time: 2018-08-18 10:54:43
accuracy is 0.654264, loss is 0.630239, epoch 0 time, consumed 13.36 seconds
accuracy is 0.776744, loss is 0.589488, epoch 1 time, consumed 12.26 seconds
accuracy is 0.796899, loss is 0.518796, epoch 2 time, consumed 11.82 seconds
accuracy is 0.821705, loss is 0.483096, epoch 3 time, consumed 11.30 seconds
accuracy is 0.813953, loss is 0.503692, epoch 4 time, consumed 12.13 seconds
accuracy is 0.837209, loss is 0.458264, epoch 5 time, consumed 12.06 seconds
accuracy is 0.843411, loss is 0.442944, epoch 6 time, consumed 11.63 seconds
accuracy is 0.841860, loss is 0.449008, epoch 7 time, consumed 11.97 seconds
accuracy is 0.844961, loss is 0.432633, epoch 8 time, consumed 11.92 seconds
accuracy is 0.837209, loss is 0.441023, epoch 9 time, consumed 11.88 seconds
accuracy is 0.854264, loss is 0.446956, epoch 10 time, consumed 11.77 seconds
accuracy is 0.855814, loss is 0.424351, epoch 11 time, consumed 11.85 seconds
accuracy is 0.851163, loss is 0.470939, epoch 12 time, consumed 12.16 seconds
accuracy is 0.849612, loss is 0.424447, epoch 13 time, consumed 11.64 seconds
accuracy is 0.851163, loss is 0.405785, epoch 14 time, consumed 11.10 seconds
accuracy is 0.851163, loss is 0.464577, epoch 15 time, consumed 11.37 seconds
accuracy is 0.866667, loss is 0.414930, epoch 16 time, consumed 11.90 seconds
accuracy is 0.846512, loss is 0.417361, epoch 17 time, consumed 10.88 seconds
accuracy is 0.846512, loss is 0.387424, epoch 18 time, consumed 11.28 seconds
accuracy is 0.852713, loss is 0.401776, epoch 19 time, consumed 11.61 seconds
accuracy is 0.855814, loss is 0.399519, epoch 20 time, consumed 11.66 seconds
accuracy is 0.857364, loss is 0.411761, epoch 21 time, consumed 11.25 seconds
accuracy is 0.854264, loss is 0.396238, epoch 22 time, consumed 12.27 seconds
accuracy is 0.860465, loss is 0.415688, epoch 23 time, consumed 11.93 seconds
accuracy is 0.854264, loss is 0.401790, epoch 24 time, consumed 11.73 seconds
accuracy is 0.865116, loss is 0.411164, epoch 25 time, consumed 11.92 seconds
accuracy is 0.865116, loss is 0.398486, epoch 26 time, consumed 11.96 seconds
