truncate between -1000 to 600, image[<-1000]=0, image[>600]=0
start time: 2018-08-16 22:38:27
cubic shape: (10, 20, 20)
Training examples: 3808, high 1812, low 1812
Testing examples: 424, high 204, low 204
epoch: 100
batch size: 32
accuracy  is 0.518868, loss is 0.691785, epoch 0 time, consumed 133.27 seconds
accuracy  is 0.679245, loss is 0.673070, epoch 1 time, consumed 123.81 seconds
accuracy  is 0.728774, loss is 0.565734, epoch 2 time, consumed 131.43 seconds
accuracy  is 0.733491, loss is 0.541931, epoch 3 time, consumed 126.38 seconds
accuracy  is 0.773585, loss is 0.488100, epoch 4 time, consumed 128.71 seconds
accuracy  is 0.799528, loss is 0.436431, epoch 5 time, consumed 130.30 seconds
accuracy  is 0.816038, loss is 0.419531, epoch 6 time, consumed 124.35 seconds
accuracy  is 0.813679, loss is 0.406587, epoch 7 time, consumed 129.54 seconds
accuracy  is 0.832547, loss is 0.395072, epoch 8 time, consumed 123.42 seconds
accuracy  is 0.834906, loss is 0.386855, epoch 9 time, consumed 128.78 seconds
accuracy  is 0.827830, loss is 0.393516, epoch 10 time, consumed 125.37 seconds
accuracy  is 0.820755, loss is 0.391191, epoch 11 time, consumed 99.38 seconds
accuracy  is 0.832547, loss is 0.377301, epoch 12 time, consumed 100.38 seconds
accuracy  is 0.816038, loss is 0.432554, epoch 13 time, consumed 101.33 seconds
accuracy  is 0.834906, loss is 0.455782, epoch 14 time, consumed 103.37 seconds
accuracy  is 0.830189, loss is 0.470606, epoch 15 time, consumed 103.24 seconds
accuracy  is 0.832547, loss is 0.454707, epoch 16 time, consumed 102.24 seconds
accuracy  is 0.832547, loss is 0.501271, epoch 17 time, consumed 103.89 seconds
accuracy  is 0.832547, loss is 0.495179, epoch 18 time, consumed 102.23 seconds
accuracy  is 0.841981, loss is 0.518526, epoch 19 time, consumed 108.01 seconds
accuracy  is 0.832547, loss is 0.484248, epoch 20 time, consumed 101.71 seconds
accuracy  is 0.808962, loss is 0.665188, epoch 21 time, consumed 100.20 seconds
accuracy  is 0.816038, loss is 0.611149, epoch 22 time, consumed 98.68 seconds
accuracy  is 0.825472, loss is 0.613834, epoch 23 time, consumed 98.99 seconds
accuracy  is 0.801887, loss is 0.859294, epoch 24 time, consumed 99.80 seconds
accuracy  is 0.816038, loss is 0.707898, epoch 25 time, consumed 98.98 seconds
accuracy  is 0.816038, loss is 0.876421, epoch 26 time, consumed 100.93 seconds
accuracy  is 0.837264, loss is 0.620936, epoch 27 time, consumed 100.43 seconds
accuracy  is 0.839623, loss is 0.744842, epoch 28 time, consumed 100.63 seconds
accuracy  is 0.825472, loss is 1.088719, epoch 29 time, consumed 99.11 seconds
accuracy  is 0.818396, loss is 0.815484, epoch 30 time, consumed 98.99 seconds
accuracy  is 0.820755, loss is 0.878051, epoch 31 time, consumed 98.78 seconds
accuracy  is 0.823113, loss is 1.073494, epoch 32 time, consumed 100.96 seconds
